date,region,resource_type,metric,forecast,lower_95,upper_95,run_timestamp
2023-04-01,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-02,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-03,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-04,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-05,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-06,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-07,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-08,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-09,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-10,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-11,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-12,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-13,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-14,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:46.495527+00:00
2023-04-01,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-02,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-03,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-04,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-05,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-06,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-07,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-08,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-09,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-10,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-11,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-12,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-13,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-14,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-15,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-16,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-17,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-18,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
2023-04-19,East US,Container,usage_cpu,79.42857142857143,55.558137987938686,103.29900486920415,2025-10-09 10:00:50.040406+00:00
